,ï»¿id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3957,43059548.0,20200000000000.0,15019726,0,1,2,37.80636,-122.43868,1,2.0,1.0,1.0,75.0,30,180,30.0,30.0,180.0,180.0,30.0,180.0,5,35,65,92,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,1,0,1,0,1.3186045268223134
3965,43116773.0,20200000000000.0,23319517,33,2,3,37.76855,-122.42566,4,2.0,3.0,4.0,389.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,3,277,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,2,2,0,0,1.3186045268223134
3968,43147452.0,20200000000000.0,267895362,0,73,123,37.79169,-122.4203,2,3.0,1.0,1.8129401408450705,60.0,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,30,60,90,365,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,55,1,54,0,1.3186045268223134
3970,43149731.0,20200000000000.0,7088871,17,3,6,37.78624,-122.39035,4,2.0,2.0,1.8129401408450705,295.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,2,2,0,0,1.3186045268223134
3975,43221081.0,20200000000000.0,102405067,100,2,4,37.73678,-122.39551,7,2.0,3.0,5.0,132.0,30,120,30.0,30.0,120.0,120.0,30.0,120.0,2,32,62,151,58,5,1,4.78,4.88,4.88,4.91,4.84,4.26,4.57,2,2,0,0,1.67
3978,43271982.0,20200000000000.0,267895362,0,73,123,37.75355,-122.43047,2,3.0,1.0,1.8129401408450705,54.0,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,30,60,90,365,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,55,1,54,0,1.3186045268223134
3983,43312620.0,20200000000000.0,122074829,91,4,6,37.80036,-122.41225,4,2.0,2.0,2.0,1200.0,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,26,30,60,305,4,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,0.28
3985,43335731.0,20200000000000.0,27368404,100,4,9,37.79531,-122.41265,6,2.0,3.0,3.0,323.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,26,55,260,6,2,0,5.0,5.0,4.83,4.83,5.0,5.0,5.0,4,1,3,0,0.19
3994,43351645.0,20200000000000.0,4929368,71,1,6,37.78201,-122.40741,2,2.0,2.0,1.0,230.0,30,180,30.0,30.0,180.0,180.0,30.0,180.0,18,21,51,326,3,3,0,5.0,5.0,5.0,5.0,5.0,4.33,4.67,1,1,0,0,0.36
4001,43423845.0,20200000000000.0,4440278,52,8,24,37.76211,-122.43069,16,4.0,8.0,10.0,850.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,269,3,0,0,5.0,4.0,5.0,5.0,5.0,5.0,4.67,3,1,2,0,0.13
4002,43431631.0,20200000000000.0,13445416,73,1,2,37.74916,-122.43629,4,2.0,3.0,2.0,800.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,20,46,76,350,17,6,0,5.0,5.0,5.0,5.0,5.0,5.0,4.88,1,1,0,0,0.55
4008,43452502.0,20200000000000.0,2060012,100,16,24,37.77391,-122.42957,1,2.0,1.0,1.0,73.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,10,14,219,5,3,0,4.8,4.6,4.6,4.6,4.4,5.0,4.8,15,8,7,0,0.21
4009,43452641.0,20200000000000.0,2060012,100,16,24,37.77174,-122.43109,1,2.0,1.0,1.0,73.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,5,30,32,224,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15,8,7,0,0.03
4017,43490760.0,20200000000000.0,325077046,33,5,9,37.75644,-122.41021,6,3.0,3.0,3.0,450.0,30,60,30.0,30.0,60.0,60.0,30.0,60.0,4,34,64,338,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.24
4019,42585784.0,20200000000000.0,20182227,99,2,5,37.73138,-122.39497,8,2.0,4.0,5.0,317.0,3,29,2.0,5.0,28.0,1125.0,3.1,1073.0,2,13,36,36,73,41,2,4.97,5.0,5.0,5.0,4.99,4.74,4.93,2,2,0,0,2.51
4020,42603642.0,20200000000000.0,149423004,100,1,4,37.77627,-122.4915,6,2.0,3.0,3.0,254.0,1,90,1.0,1.0,1125.0,1125.0,1.0,1125.0,6,16,28,206,289,104,8,4.73,4.79,4.57,4.89,4.89,4.87,4.69,1,1,0,0,8.29
