,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5438,30593315,20230329041210,160900733,100,3,4,19.40537,-99.16108,4,2.0,2.0,2.0,927.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,25,55,140,172,42,5,4.92,4.95,4.91,5.0,4.99,4.88,4.9,3,3,0,0,3.29
5440,30675445,20230329041210,97457747,100,10,10,19.41125,-99.17371,6,3.0,3.0,3.0,10146.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,21,40,68,343,50,36,2,4.94,4.9,4.98,5.0,4.94,4.94,4.8,10,10,0,0,2.9
5441,30998957,20230329041210,198471653,100,12,12,19.42295,-99.16011,6,2.0,2.0,4.0,1275.0,2,1125,2.0,8.0,1125.0,1125.0,6.6,1125.0,20,50,68,87,95,22,0,4.84,4.88,4.86,4.98,4.95,4.99,4.8,12,12,0,0,1.84
5442,31001798,20230329041210,4894120,0,18,21,19.42888,-99.16975,16,4.0,4.0,9.0,3857.0,1,1125,1.0,3.0,1125.0,1125.0,1.1,1125.0,11,35,51,208,189,43,4,4.78,4.81,4.72,4.89,4.93,4.92,4.75,9,9,0,0,3.65
5445,31021904,20230329041210,221174825,100,1,1,19.35578,-99.15733,3,2.0,1.0,1.0,1200.0,1,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,24,40,2,0,4.95,4.93,4.9,5.0,4.95,4.98,4.93,1,1,0,0,0.78
5454,30309418,20230329041210,5755202,93,25,62,19.44006,-99.18303,6,2.0,2.0,2.0,2111.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,28,52,81,81,56,12,0,4.8,4.86,4.84,4.7,4.86,4.86,4.73,23,23,0,0,1.07
5467,30319934,20230329041210,52000817,81,1,2,19.40586,-99.18028,8,2.0,4.0,7.0,3560.0,2,60,2.0,2.0,60.0,60.0,2.0,60.0,11,38,68,336,39,9,1,4.95,4.92,4.9,5.0,5.0,4.95,4.9,1,1,0,0,0.75
5477,30697115,20230329041210,124321147,0,2,4,19.33251,-99.19636,4,3.0,4.0,3.0,800.0,2,2,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,1,0,0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2,0,2,0,0.02
5483,31060261,20230329041210,69576582,100,2,2,19.31142,-99.22331,4,3.0,3.0,7.0,2500.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,29,59,89,364,36,0,0,4.86,4.97,4.97,4.83,4.53,4.92,4.86,1,1,0,0,0.71
5487,30720271,20230329041210,15424751,100,2,4,19.31768,-99.29565,12,5.0,4.0,6.0,4134.0,1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,25,42,42,42,51,7,0,4.43,4.53,4.47,4.31,4.45,4.61,4.43,2,1,1,0,0.99
5489,30324168,20230329041210,67077806,99,2,2,19.43964,-99.18226,5,2.0,2.0,3.0,1906.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,24,50,120,74,15,0,4.95,4.89,4.95,4.92,4.96,4.81,4.82,1,1,0,0,1.65
5491,30325277,20230329041210,139156115,100,6,9,19.4402,-99.19101,6,2.0,2.0,6.0,1300.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,0,0,0,0,38,3,0,4.73,4.82,4.97,4.79,4.73,4.79,4.88,5,3,2,0,0.73
5493,30728565,20230329041210,51356997,96,1,1,19.29236,-99.13912,5,2.0,2.0,2.0,543.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,3,9,13,93,107,34,11,4.92,4.94,4.92,4.92,4.83,4.82,4.88,1,1,0,0,2.06
5498,30729638,20230329041210,207181572,85,14,14,19.2962,-99.13216,6,3.0,3.0,3.0,3000.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,26,210,12,8,0,4.92,4.75,4.75,4.92,4.92,4.92,4.83,14,10,4,0,0.27
5505,30735543,20230329041210,69186413,100,12,12,19.43166,-99.18608,8,2.0,3.0,4.0,3540.0,2,1124,2.0,4.0,1125.0,1125.0,2.1,1125.0,0,0,0,0,17,2,0,4.88,5.0,4.94,5.0,4.88,5.0,4.88,2,2,0,0,0.33
5507,30736474,20230329041210,38618115,91,1,1,19.34104,-99.17283,6,2.0,3.0,4.0,2078.0,3,1125,3.0,5.0,1125.0,1125.0,3.1,1125.0,9,32,62,62,52,17,3,4.9,4.96,4.87,4.83,4.88,4.94,4.94,1,1,0,0,1.0
5516,30353580,20230329041210,104400812,100,18,22,19.44238,-99.2021,6,2.0,3.0,4.0,1690.0,1,1125,1.0,2.0,1.0,1125.0,1.3,672.9,8,25,53,196,92,51,3,4.76,4.84,4.63,4.8,4.64,4.9,4.71,16,16,0,0,1.76
5517,31100887,20230329041210,151625574,0,2,2,19.41809,-99.16843,6,2.0,2.0,4.0,1790.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,23,53,83,358,149,18,0,4.62,4.77,4.65,4.76,4.68,4.89,4.66,2,2,0,0,2.88
5521,30354048,20230329041210,9988682,94,34,35,19.42985,-99.20343,6,3.0,3.0,4.0,6464.0,2,31,2.0,2.0,1125.0,1125.0,2.0,1125.0,22,50,79,79,126,24,0,4.85,4.92,4.83,4.94,4.86,4.94,4.89,23,23,0,0,2.41
5537,30765984,20230329041210,230208582,100,1,1,19.346,-99.14854,3,2.0,2.0,2.0,1200.0,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,17,47,77,167,79,21,1,4.84,4.87,4.95,4.97,4.85,4.95,4.77,1,1,0,0,1.56
5543,31177196,20230329041210,90530942,97,2,2,19.45883,-99.14079,4,2.0,2.0,2.0,800.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,25,55,85,360,53,24,1,4.94,5.0,4.94,4.91,5.0,4.94,4.94,1,1,0,0,1.27
5553,31148269,20230329041210,27449159,96,78,81,19.36251,-99.28485,6,2.0,3.0,3.0,2295.0,2,1125,2.0,4.0,1125.0,1125.0,3.3,1125.0,12,42,72,347,50,14,0,4.86,4.82,4.86,4.88,4.94,4.8,4.86,72,72,0,0,1.0
5556,31160854,20230329041210,70391197,100,10,12,19.41913,-99.17037,4,2.0,2.0,2.0,2282.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,22,49,79,257,34,34,6,4.97,5.0,4.97,4.88,4.94,4.91,4.94,1,1,0,0,3.18
5564,31195179,20230329041210,9557015,99,34,39,19.42182,-99.15517,6,2.0,2.0,2.0,1761.0,2,180,2.0,2.0,1125.0,1125.0,2.0,1125.0,13,28,54,329,65,16,0,4.94,4.95,4.89,4.97,4.89,4.98,4.98,20,20,0,0,1.26
5569,31442256,20230329041210,17052495,96,3,5,19.42058,-99.21188,2,2.0,1.0,1.0,1800.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,12,27,40,162,28,8,0,4.96,5.0,5.0,5.0,5.0,4.93,4.93,2,2,0,0,0.56
